Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Read Count
15994527,The Woman in White,Wilkie Collins,141389435,9.78014E+12,0,4,Penguin Books,Paperback,702,2012,,09-04-20,to-read,0
97642,No More Mr. Nice Guy,Robert A. Glover,762415339,9.78076E+12,0,4.03,Running Press Adult,Hardcover,208,2003,,09-04-20,to-read,0
181133,And Then There Were None,Agatha Christie,,,0,4.27,HarperCollins,Mass Market Paperback,250,2003,,09-04-20,to-read,0
33152795,Invictus,Ryan Graudin,316503134,9.78032E+12,0,3.85,"Little, Brown Books for Young Readers",ebook,464,2017,,09-03-20,to-read,0
11501608,Flashpoint,Geoff Johns,1401233384,9.7814E+12,0,4.22,DC Comics,Paperback,176,2012,,29-02-20,to-read,0
33555224,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,1442472456,9.78144E+12,4,4.43,Simon & Schuster Books for Young Readers,Hardcover,504,2018,23-02-20,13-02-20,,1
18143977,All the Light We Cannot See,Anthony Doerr,1476746583,9.78148E+12,0,4.32,Scribner,Hardcover,531,2014,,23-02-20,to-read,0
45872054,The Kingdom of Back,Marie Lu,1524739014,9.78152E+12,0,3.71,Putnam/G. P. Putnam's Sons,Hardcover,313,2020,,16-02-20,to-read,0
28954189,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,,,4,4.33,Simon Schuster Books for Young Readers,Hardcover,435,2016,13-02-20,07-02-20,holly-golightly,1
38255337,One Day in December,Josie Silver,,,0,3.9,Ballantine Books,Paperback,393,2018,,12-02-20,to-read,0
17699853,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,1481431870,9.78148E+12,0,4.44,Margaret K. McElderry Books,Hardcover,592,2020,,08-02-20,to-read,0
32737127,"Unfiltered: No Shame, No Regrets, Just Me",Lily Collins,62473018,9.78006E+12,4,3.91,HarperCollins,Hardcover,228,2017,10-04-17,08-04-17,breakfast-at-tiffany-s,1
32332965,The Key to Extraordinary,Natalie Lloyd,545552761,9.78055E+12,3,4.12,Scholastic Press,Paperback,240,2017,07-02-20,28-05-19,mount-crumpit,1
9793361,The Decision Book: Fifty Models for Strategic Thinking,Mikael Krogerus,,,0,3.61,,Hardcover,174,2011,,31-12-19,to-read,0
41452250,The Summer of Sunshine and Margot,Susan Mallery,,,0,3.87,HQN Books,Kindle Edition,368,2019,,25-06-19,to-read,0
211480,Secrets of Six-Figure Women: Surprising Strategies to Up Your Earnings and Change Your Life,Barbara Stanny (now Huson),60933461,9.78006E+12,0,4.05,Harper Business,Paperback,304,2004,,28-05-19,to-read,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,,,0,4.25,Penguin Books,Kindle Edition,352,2018,,16-05-19,to-read,0
42356924,Ashes in the Snow,Ruta Sepetys,1984836749,9.78198E+12,5,4.36,Penguin Books,Paperback,384,2018,15-03-19,10-03-19,breakfast-at-tiffany-s,1
7012663,The Last Song,Nicholas Sparks,446570974,9.78045E+12,3,4.15,Grand Central Publishing,Paperback,432,2010,10-03-19,13-01-19,mount-crumpit,1
35526438,Lights All Night Long,Lydia  Fitzpatrick,,,0,3.9,Penguin Press,Kindle Edition,352,2019,,24-02-19,to-read,0
31443394,"Beartown (Beartown, #1)",Fredrik Backman,1501160761,9.7815E+12,0,4.27,Atria Books,Hardcover,418,2017,,22-04-17,to-read,0
33336580,"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,1471116654,9.78147E+12,4,4.44,Simon & Schuster Children's UK,Paperback,699,2017,12-01-19,31-12-16,holly-golightly,1
26192915,Outrun the Moon,Stacey  Lee,399175415,9.7804E+12,0,3.98,G.P. Putnam's Sons Books for Young Readers,Hardcover,391,2016,,10-01-19,to-read,0
35297403,The Red Scrolls of Magic (The Eldest Curses #1),Cassandra Clare,1481495089,9.78148E+12,0,4.15,Margaret K. McElderry Books,Hardcover,350,2019,,22-12-18,to-read,0
25558608,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,,9.78001E+12,4,4.25,Razorbill,Hardcover,452,2016,20-12-18,17-02-18,holly-golightly,1
35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,1481430483,9.78148E+12,3,4.05,Simon  Schuster Books for Young Readers,Hardcover,325,2017,17-12-18,27-05-17,mount-crumpit,1
25494343,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,1442468351,9.78144E+12,5,4.37,Margaret K. McElderry Books,Hardcover,669,2016,15-12-18,24-11-16,breakfast-at-tiffany-s,1
140181,Zen Shorts,Jon J. Muth,439339111,9.78044E+12,4,4.25,Scholastic Press,Hardcover,40,2005,,14-09-18,holly-golightly,1
29386918,"Wildcard (Warcross, #2)",Marie Lu,399548017,9.7804E+12,4,4,G.P. Putnam's Sons Books for Young Readers,ebook,352,2018,01-12-18,26-11-18,holly-golightly,1
38746485,Becoming,Michelle Obama,,,0,4.49,Crown,Hardcover,426,2018,,29-11-18,to-read,0
38915720,"A Light So Lovely: The Spiritual Legacy of Madeleine L'Engle, Author of A Wrinkle in Time",Sarah Arthur,310353408,9.78031E+12,0,4.13,Zondervan,Paperback,224,2018,,09-08-18,to-read,0
35133917,As Bright as Heaven,Susan Meissner,399585966,9.7804E+12,0,4.09,Berkley Books,Hardcover,387,2018,,23-06-18,to-read,0
36373463,"Us Against You (Beartown, #2)",Fredrik Backman,1501160796,9.7815E+12,0,4.35,Atria Books,Hardcover,448,2018,,23-06-18,to-read,0
40004610,The Alice Network,Kate Quinn,,,0,4.3,William Morrow Paperbacks,Kindle Edition,505,2017,,27-05-18,to-read,0
890,Of Mice and Men,John Steinbeck,142000671,9.78014E+12,4,3.88,Penguin Books,Paperback,112,2002,,27-04-18,mount-crumpit,1
10907,The Pursuit of Happyness,Chris Gardner,60744871,9.78006E+12,0,4.2,Amistad,Paperback,320,2006,,29-04-18,to-read,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,307352145,9.78031E+12,0,4.07,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,,16-04-18,to-read,0
12898,Death of a Salesman,Arthur  Miller,435233076,9.78044E+12,3,3.55,Heinemann Library,Hardcover,117,1994,15-04-18,07-04-18,mount-crumpit,1
14061957,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,,,4,4.03,Henry Holt and Company,Hardcover,422,2014,13-03-18,24-11-16,holly-golightly,1
5470,1984,George Orwell,,,4,4.19,New American Library,Mass Market Paperback,328,1950,02-03-18,18-02-18,holly-golightly,1
20560137,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,,,4,4.26,Razorbill,Hardcover,446,2015,17-02-18,10-02-18,holly-golightly,1
